    generations  pop_size  ...                                   mean_convergence    time_sec
24          100        50  ...  [[-6.8679999999999986, -7.2, -6.90400000000000...  374.867186
23          100        20  ...  [[-6.999999999999998, -7.12, -6.38000000000000...  145.729983
20          100        20  ...  [[-7.179999999999998, -6.74, -7.01000000000000...  146.360878
29          100        50  ...  [[-6.944, -6.848000000000001, -7.1519999999999...  370.874801
26          100        50  ...  [[-6.803999999999999, -6.888, -6.824, -6.444, ...  375.553881
