strategy,run,iteration,infected,infected_nodes
greedy,1,0,24,"4,27,40,48,80,107,128,185,212,225,226,261,277,288,318,340,342,346,355,366,384,388,423,473"
greedy,1,1,8,"13,24,37,62,132,294,301,489"
greedy,1,2,1,32
greedy,1,3,2,"44,123"
greedy,1,4,1,137
greedy,1,5,1,147
greedy,1,6,0,
greedy,1,7,0,
greedy,1,8,0,
greedy,1,9,0,
greedy,1,10,0,
greedy,1,11,0,
greedy,1,12,0,
greedy,1,13,0,
greedy,1,14,0,
greedy,1,15,0,
greedy,1,16,0,
greedy,1,17,0,
greedy,1,18,0,
greedy,1,19,0,
greedy,1,20,0,
greedy,1,21,0,
greedy,1,22,0,
greedy,1,23,0,
greedy,1,24,0,
greedy,1,25,0,
greedy,1,26,0,
greedy,1,27,0,
greedy,1,28,0,
greedy,1,29,0,
genetic,1,0,24,"13,16,20,21,49,70,78,105,122,130,142,210,243,255,300,346,366,375,380,413,423,454,491,493"
genetic,1,1,6,"2,8,46,259,319,418"
genetic,1,2,4,"10,119,123,203"
genetic,1,3,1,12
genetic,1,4,1,118
genetic,1,5,0,
genetic,1,6,0,
genetic,1,7,0,
genetic,1,8,0,
genetic,1,9,0,
genetic,1,10,0,
genetic,1,11,0,
genetic,1,12,0,
genetic,1,13,0,
genetic,1,14,0,
genetic,1,15,0,
genetic,1,16,0,
genetic,1,17,0,
genetic,1,18,0,
genetic,1,19,0,
genetic,1,20,0,
genetic,1,21,0,
genetic,1,22,0,
genetic,1,23,0,
genetic,1,24,0,
genetic,1,25,0,
genetic,1,26,0,
genetic,1,27,0,
genetic,1,28,0,
genetic,1,29,0,
random,2,0,24,"47,52,84,96,115,120,156,174,202,204,229,257,284,294,322,324,348,352,354,369,388,423,455,471"
random,2,1,8,"4,10,98,245,259,346,433,442"
random,2,2,2,"30,79"
random,2,3,0,
random,2,4,0,
random,2,5,0,
random,2,6,0,
random,2,7,0,
random,2,8,0,
random,2,9,0,
random,2,10,0,
random,2,11,0,
random,2,12,0,
random,2,13,0,
random,2,14,0,
random,2,15,0,
random,2,16,0,
random,2,17,0,
random,2,18,0,
random,2,19,0,
random,2,20,0,
random,2,21,0,
random,2,22,0,
random,2,23,0,
random,2,24,0,
random,2,25,0,
random,2,26,0,
random,2,27,0,
random,2,28,0,
random,2,29,0,
degree,2,0,24,"68,100,133,181,230,234,257,258,287,297,301,303,307,308,320,336,354,366,378,420,426,428,432,445"
degree,2,1,5,"90,121,178,263,325"
degree,2,2,1,260
degree,2,3,0,
degree,2,4,0,
degree,2,5,0,
degree,2,6,0,
degree,2,7,0,
degree,2,8,0,
degree,2,9,0,
degree,2,10,0,
degree,2,11,0,
degree,2,12,0,
degree,2,13,0,
degree,2,14,0,
degree,2,15,0,
degree,2,16,0,
degree,2,17,0,
degree,2,18,0,
degree,2,19,0,
degree,2,20,0,
degree,2,21,0,
degree,2,22,0,
degree,2,23,0,
degree,2,24,0,
degree,2,25,0,
degree,2,26,0,
degree,2,27,0,
degree,2,28,0,
degree,2,29,0,
betweenness,2,0,24,"16,51,62,109,144,171,193,203,211,234,268,270,287,364,377,402,406,417,431,434,437,450,455,473"
betweenness,2,1,2,"13,241"
betweenness,2,2,0,
betweenness,2,3,0,
betweenness,2,4,0,
betweenness,2,5,0,
betweenness,2,6,0,
betweenness,2,7,0,
betweenness,2,8,0,
betweenness,2,9,0,
betweenness,2,10,0,
betweenness,2,11,0,
betweenness,2,12,0,
betweenness,2,13,0,
betweenness,2,14,0,
betweenness,2,15,0,
betweenness,2,16,0,
betweenness,2,17,0,
betweenness,2,18,0,
betweenness,2,19,0,
betweenness,2,20,0,
betweenness,2,21,0,
betweenness,2,22,0,
betweenness,2,23,0,
betweenness,2,24,0,
betweenness,2,25,0,
betweenness,2,26,0,
betweenness,2,27,0,
betweenness,2,28,0,
betweenness,2,29,0,
greedy,2,0,24,"0,12,31,34,35,58,61,62,73,81,97,117,159,181,184,205,278,306,354,369,389,424,481,497"
greedy,2,1,18,"1,2,4,40,67,69,74,82,90,96,137,186,198,288,318,360,368,492"
greedy,2,2,10,"18,78,113,131,145,165,194,212,252,399"
greedy,2,3,3,"15,142,169"
greedy,2,4,0,
greedy,2,5,0,
greedy,2,6,0,
greedy,2,7,0,
greedy,2,8,0,
greedy,2,9,0,
greedy,2,10,0,
greedy,2,11,0,
greedy,2,12,0,
greedy,2,13,0,
greedy,2,14,0,
greedy,2,15,0,
greedy,2,16,0,
greedy,2,17,0,
greedy,2,18,0,
greedy,2,19,0,
greedy,2,20,0,
greedy,2,21,0,
greedy,2,22,0,
greedy,2,23,0,
greedy,2,24,0,
greedy,2,25,0,
greedy,2,26,0,
greedy,2,27,0,
greedy,2,28,0,
greedy,2,29,0,
genetic,2,0,24,"36,51,55,98,122,150,151,162,165,167,229,276,281,299,332,339,362,365,376,386,420,426,464,497"
genetic,2,1,7,"4,22,54,59,107,115,178"
genetic,2,2,5,"27,155,156,253,356"
genetic,2,3,1,182
genetic,2,4,0,
genetic,2,5,0,
genetic,2,6,0,
genetic,2,7,0,
genetic,2,8,0,
genetic,2,9,0,
genetic,2,10,0,
genetic,2,11,0,
genetic,2,12,0,
genetic,2,13,0,
genetic,2,14,0,
genetic,2,15,0,
genetic,2,16,0,
genetic,2,17,0,
genetic,2,18,0,
genetic,2,19,0,
genetic,2,20,0,
genetic,2,21,0,
genetic,2,22,0,
genetic,2,23,0,
genetic,2,24,0,
genetic,2,25,0,
genetic,2,26,0,
genetic,2,27,0,
genetic,2,28,0,
genetic,2,29,0,
random,3,0,24,"11,28,44,49,51,54,114,147,154,197,212,223,230,238,266,271,298,304,333,346,392,419,434,456"
random,3,1,9,"1,9,18,165,171,183,307,352,469"
random,3,2,6,"4,7,34,116,310,373"
random,3,3,10,"3,15,47,57,103,150,167,185,361,488"
random,3,4,6,"31,50,58,164,226,286"
random,3,5,2,"219,249"
random,3,6,0,
random,3,7,0,
random,3,8,0,
random,3,9,0,
random,3,10,0,
random,3,11,0,
random,3,12,0,
random,3,13,0,
random,3,14,0,
random,3,15,0,
random,3,16,0,
random,3,17,0,
random,3,18,0,
random,3,19,0,
random,3,20,0,
random,3,21,0,
random,3,22,0,
random,3,23,0,
random,3,24,0,
random,3,25,0,
random,3,26,0,
random,3,27,0,
random,3,28,0,
random,3,29,0,
degree,3,0,24,"6,21,50,125,219,253,265,287,315,336,352,362,371,382,393,422,423,442,444,455,461,468,490,495"
degree,3,1,6,"4,15,49,100,160,231"
degree,3,2,4,"13,18,177,210"
degree,3,3,0,
degree,3,4,0,
degree,3,5,0,
degree,3,6,0,
degree,3,7,0,
degree,3,8,0,
degree,3,9,0,
degree,3,10,0,
degree,3,11,0,
degree,3,12,0,
degree,3,13,0,
degree,3,14,0,
degree,3,15,0,
degree,3,16,0,
degree,3,17,0,
degree,3,18,0,
degree,3,19,0,
degree,3,20,0,
