strategy,run,iteration,infected,infected_nodes
random,2,8,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
random,2,9,0,"[24, 29, 37, 70],[6, 81, 86],[11, 73],[],[],[],[],[],[],[]"
degree,2,0,4,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,1,1,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,2,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,3,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,4,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,5,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,6,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,7,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,8,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
degree,2,9,0,"[24, 53, 94, 96],[20],[],[],[],[],[],[],[],[]"
betweenness,2,0,4,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,1,1,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,2,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,3,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,4,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,5,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,6,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,7,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,8,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
betweenness,2,9,0,"[7, 38, 43, 84],[68],[],[],[],[],[],[],[],[]"
greedy,2,0,4,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,1,1,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,2,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,3,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,4,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,5,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,6,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,7,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,8,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
greedy,2,9,0,"[38, 57, 78, 96],[71],[],[],[],[],[],[],[],[]"
genetic,2,0,4,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,1,2,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,2,7,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,3,4,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,4,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,5,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,6,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,7,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,8,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
genetic,2,9,0,"[3, 49, 73, 86],[8, 16],[4, 17, 19, 26, 50, 66, 72],[35, 40, 62, 64],[],[],[],[],[],[]"
random,3,0,4,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,1,3,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,2,4,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,3,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,4,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,5,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,6,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,7,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,8,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
random,3,9,0,"[7, 28, 35, 66],[8, 44, 99],[54, 58, 68, 95],[],[],[],[],[],[],[]"
degree,3,0,4,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,1,1,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,2,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,3,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,4,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,5,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,6,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,7,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,8,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
degree,3,9,0,"[2, 64, 73, 91],[19],[],[],[],[],[],[],[],[]"
betweenness,3,0,4,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,1,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,2,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,3,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,4,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,5,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,6,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,7,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,8,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
betweenness,3,9,0,"[22, 42, 74, 83],[],[],[],[],[],[],[],[],[]"
greedy,3,0,4,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,1,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,2,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,3,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,4,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,5,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,6,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,7,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,8,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
greedy,3,9,0,"[11, 18, 49, 71],[],[],[],[],[],[],[],[],[]"
genetic,3,0,4,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,1,1,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,2,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,3,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,4,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,5,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,6,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,7,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,8,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
genetic,3,9,0,"[3, 42, 43, 90],[9],[],[],[],[],[],[],[],[]"
random,4,0,4,"[13, 39, 42, 45],[2, 28],[17],[31],[],[],[],[],[],[]"
random,4,1,2,"[13, 39, 42, 45],[2, 28],[17],[31],[],[],[],[],[],[]"
random,4,2,1,"[13, 39, 42, 45],[2, 28],[17],[31],[],[],[],[],[],[]"
random,4,3,1,"[13, 39, 42, 45],[2, 28],[17],[31],[],[],[],[],[],[]"
random,4,4,0,"[13, 39, 42, 45],[2, 28],[17],[31],[],[],[],[],[],[]"
